Player Name,Start year,End year,Position
Corky Calhoun,1973,1980,F
Demetrius Calip,1992,1992,G
Tom Callahan,1947,1947,G
Rick Calloway,1991,1991,F
Ernie Calverley,1947,1949,G
Mack Calvin,1970,1981,G
Dexter Cambridge,1993,1993,F
Marcus Camby,1997,2013,C-F
Facundo Campazzo,2021,2023,G
Elden Campbell,1991,2005,C
Tony Campbell,1985,1995,F-G
Isaiah Canaan,2014,2019,G
Vlatko Čančar,2020,2023,F
Devin Cannady,2021,2022,G
Larry Cannon,1970,1974,G
Clint Capela,2015,2023,C
Derrick Caracter,2011,2011,F
Frank Card,1969,1973,F
Brian Cardinal,2001,2012,F
Vernon Carey Jr.,2021,2023,C
Howie Carl,1962,1962,G
Chet Carlisle,1947,1947,F-C
Geno Carlisle,2005,2005,G
Rick Carlisle,1985,1990,G
Don Carlos,1969,1969,G-F
Al Carlson,1976,1976,C
Don Carlson,1947,1951,G-F
Bob Carney,1955,1955,G
Rodney Carney,2007,2011,F
Bob Carpenter,1950,1951,F-C
Antoine Carr,1985,2000,F-C
Austin Carr,1972,1981,G
Chris Carr,1996,2001,G
Cory Carr,1999,1999,G
Kenny Carr,1978,1987,F
M.L. Carr,1976,1985,F-G
Darel Carrier,1968,1973,G
Bob Carrington,1978,1980,G-F
DeMarre Carroll,2010,2020,F
Joe Barry Carroll,1981,1991,C-F
Matt Carroll,2004,2013,G
Jimmy Carruth,1997,1997,C-F
Anthony Carter,2000,2012,G
Butch Carter,1981,1986,G
Fred Carter,1970,1977,G-F
George Carter,1968,1976,F-G
Howard Carter,1984,1985,G
Jake Carter,1950,1950,F-C
Jevon Carter,2019,2023,G
Maurice Carter,2004,2004,G
Reggie Carter,1981,1982,G
Ron Carter,1979,1980,G
Vince Carter,1999,2020,G-F
Wendell Carter Jr.,2019,2023,C
Michael Carter-Williams,2014,2021,G
Bill Cartwright,1980,1995,C
Jay Carty,1969,1969,F
Alex Caruso,2018,2023,G
Cornelius Cash,1977,1977,F
Sam Cash,1973,1973,F
Sam Cassell,1994,2008,G
Omri Casspi,2010,2019,F
Harvey Catchings,1975,1985,C-F
Terry Catledge,1986,1993,F
Sid Catlett,1972,1972,F
Kelvin Cato,1998,2007,C
Bobby Cattage,1982,1986,F
Willie Cauley-Stein,2016,2022,F-C
Troy Caupain,2019,2019,G
Duane Causwell,1991,2001,C
Tyler Cavanaugh,2018,2019,F
Ron Cavenall,1985,1989,C
Ahmad Caver,2022,2022,G
Cedric Ceballos,1991,2001,F
John Celestand,2000,2000,G
Al Cervi*,1950,1953,G-F
Lionel Chalmers,2005,2005,G
Mario Chalmers,2009,2018,G
Bill Chamberlain,1973,1974,F
Wilt Chamberlain*,1960,1973,C
Jerry Chambers,1967,1974,F
Tom Chambers,1982,1998,F-C
Julian Champagnie,2023,2023,F
Justin Champagnie,2022,2023,F
Mike Champion,1989,1989,F
Kennedy Chandler,2023,2023,G
Tyson Chandler,2002,2020,C
Wilson Chandler,2008,2020,F
Don Chaney,1969,1980,G
John Chaney,1950,1950,F-C
Rex Chapman,1989,2000,G
Wayne Chapman,1969,1972,G-F
Len Chappell,1963,1972,F-C
Ken Charles,1974,1978,G
Lorenzo Charles,1986,1986,F
Joe Chealey,2019,2020,G
Calbert Cheaney,1994,2006,G-F
Zylan Cheatham,2020,2022,F
Maurice Cheeks*,1979,1993,G
Phil Chenier,1972,1981,G
Will Cherry,2015,2015,G
Derrick Chievous,1989,1991,F
Pete Chilcutt,1992,2000,F-C
Josh Childress,2005,2014,G-F
Randolph Childress,1996,1997,G
Chris Childs,1995,2003,G
Chris Chiozza,2019,2022,G
Leroy Chollet,1950,1951,F
Jim Chones,1973,1982,C-F
Marquese Chriss,2017,2022,F
Fred Christ,1955,1955,G
Cal Christensen,1951,1955,F-C
Bob Christian,1970,1974,C
Doug Christie,1993,2007,G-F
Max Christie,2023,2023,G
Dionte Christmas,2014,2014,G
Rakeem Christmas,2016,2017,F
